,,selected_sgg,selected_sgg,selected_sgg,locked__rankic,locked__rankic,locked__rankic,locked__pearson_ic,locked__pearson_ic,locked__pearson_ic,locked__net_sharpe,locked__net_sharpe,locked__net_sharpe,locked__annualized_net_return,locked__annualized_net_return,locked__annualized_net_return,locked__max_drawdown,locked__max_drawdown,locked__max_drawdown,locked__turnover,locked__turnover,locked__turnover
,,count,mean,sem,count,mean,sem,count,mean,sem,count,mean,sem,count,mean,sem,count,mean,sem,count,mean,sem
model,credit_mode,,,,,,,,,,,,,,,,,,,,,
claude-sonnet-4.6,adaptation,75,2.5921508271659492,0.5564294084910505,75,0.009607389920920034,0.00438847368146165,75,-0.00010035143049199966,0.001158036490142511,75,-1.1451992535120823,0.15026445000730446,75,-0.09314486338918951,0.012721849104701562,75,-0.28985648667729325,0.018477052154567367,75,0.42267615884607623,0.030927111716472437
claude-sonnet-4.6,evidence,75,0.5776805123715428,0.5161381385493339,75,0.010237314413871537,0.0039098282641600035,75,0.0020288504010381476,0.001020403069946863,75,-0.7300459694182733,0.10247059254590574,75,-0.059469419654140016,0.008597350505227901,75,-0.2257534608239329,0.013412280147518194,75,0.29588285146670146,0.021278990068930546
gpt-5.4,adaptation,75,2.3396533548265857,0.5389906954835574,75,0.010949309306708711,0.004146142541557308,75,5.182970830332425e-05,0.001167419105389997,75,-1.2717684254560466,0.1708599489703504,75,-0.09807633564217251,0.012934899760537369,75,-0.29529243728608473,0.018849980599094186,75,0.43800009561363235,0.03234872325665525
gpt-5.4,evidence,75,0.8769683271439574,0.5693310971965297,75,0.009368861150894985,0.0036208682689970423,75,0.0008112585823690782,0.0009908076102845896,75,-1.0861318656720655,0.14372278821642,75,-0.08543170266260561,0.010735412907013455,75,-0.26154570384310555,0.016269857450181273,75,0.36220289435826825,0.028629308026193803
