scope,metric,n_pairs,evidence_minus_adaptation,ci_low,ci_high
pooled,selected_sgg,150,-1.7385776712385173,-2.6321962779336103,-0.860334388601427
pooled,locked__rankic,150,-0.0004752618314311108,-0.006192146262381839,0.005111438052078284
pooled,locked__pearson_ic,150,0.0014443153527979502,8.499471553421516e-05,0.002799514699288087
pooled,locked__net_sharpe,150,0.300394921938895,0.08775173660248112,0.5230504573025275
pooled,locked__annualized_net_return,150,0.023160038357308198,0.006751733848322963,0.03965686182051034
pooled,locked__max_drawdown,150,0.048924879648169765,0.022932551781245737,0.07500665716828007
pooled,locked__turnover,150,-0.10129525431736941,-0.1543685801946412,-0.04932414930255767
pooled,certified_count,150,0.0,0.0,0.0
pooled,certified_per_million_tokens,150,0.0,0.0,0.0
market_csi1000,selected_sgg,50,-1.064978672249637,-2.1354796490336954,0.020906967747106372
market_csi1000,locked__rankic,50,-0.012529208555855185,-0.02216087153855101,-0.003165278737680799
market_csi1000,locked__pearson_ic,50,-0.002655511297141971,-0.004349054739564483,-0.0009033234943671234
market_csi1000,locked__net_sharpe,50,-0.39849889925872056,-0.6709935150685368,-0.12963018474129903
market_csi1000,locked__annualized_net_return,50,-0.034275132704885254,-0.058450771315027024,-0.010346681242233575
market_csi1000,locked__max_drawdown,50,-0.0345337162286444,-0.0662867675201785,-0.00434815795808166
market_csi1000,locked__turnover,50,0.04864551677658326,-0.01688647997430008,0.11359818185266339
market_csi1000,certified_count,50,0.0,0.0,0.0
market_csi1000,certified_per_million_tokens,50,0.0,0.0,0.0
market_csi500,selected_sgg,50,-2.6992460107654046,-5.034546791856668,-0.2830876612658182
market_csi500,locked__rankic,50,0.008083061191082564,-0.0053933290118308354,0.02130036900131749
market_csi500,locked__pearson_ic,50,0.002572017748135541,-5.182552802300793e-05,0.005170670129348895
market_csi500,locked__net_sharpe,50,0.3186843493924506,0.07638400865178288,0.5682254184878422
market_csi500,locked__annualized_net_return,50,0.024440810973803902,0.005659028923333449,0.04320424979941019
market_csi500,locked__max_drawdown,50,0.037042205827223944,0.0061448320671755145,0.067845938478454
market_csi500,locked__turnover,50,-0.08922482692178649,-0.1573542535667301,-0.024622950167983725
market_csi500,certified_count,50,0.0,0.0,0.0
market_csi500,certified_per_million_tokens,50,0.0,0.0,0.0
market_sp500,selected_sgg,50,-1.451508330700511,-2.1317423044728536,-0.7964822479127216
market_sp500,locked__rankic,50,0.0030203618704792903,0.0009401756983904068,0.005114330098028874
market_sp500,locked__pearson_ic,50,0.004416439607400283,0.002206874488726331,0.0066793664784133774
market_sp500,locked__net_sharpe,50,0.9809993156829552,0.5308582522024201,1.4138690496708854
market_sp500,locked__annualized_net_return,50,0.07931443680300594,0.04660673340613403,0.11060108547765175
market_sp500,locked__max_drawdown,50,0.14426614934592977,0.08979052333007333,0.19700923122199038
market_sp500,locked__turnover,50,-0.26330645280690507,-0.3698044351971028,-0.15114719420565192
market_sp500,certified_count,50,0.0,0.0,0.0
market_sp500,certified_per_million_tokens,50,0.0,0.0,0.0
model_claude-sonnet-4.6,selected_sgg,75,-2.014470314794407,-3.344198711961135,-0.7309770314931568
model_claude-sonnet-4.6,locked__rankic,75,0.000629924492951504,-0.007035808020461666,0.008426708900319888
model_claude-sonnet-4.6,locked__pearson_ic,75,0.0021292018315301475,0.00026134955013742896,0.00403878271992064
model_claude-sonnet-4.6,locked__net_sharpe,75,0.415153284093809,0.15551086718445856,0.6708829584192294
model_claude-sonnet-4.6,locked__annualized_net_return,75,0.03367544373504949,0.011617041222627153,0.05518561633747705
model_claude-sonnet-4.6,locked__max_drawdown,75,0.06410302585336036,0.02884255253595797,0.09974309070676066
model_claude-sonnet-4.6,locked__turnover,75,-0.12679330737937472,-0.19474433738694966,-0.05978903223054133
model_claude-sonnet-4.6,certified_count,75,0.0,0.0,0.0
model_claude-sonnet-4.6,certified_per_million_tokens,75,0.0,0.0,0.0
model_gpt-5.4,selected_sgg,75,-1.4626850276826282,-2.709060560929664,-0.21497671891259265
model_gpt-5.4,locked__rankic,75,-0.0015804481558137243,-0.009883100190035054,0.006900849637436604
model_gpt-5.4,locked__pearson_ic,75,0.000759428874065754,-0.0011924700307465038,0.0027356660630795666
model_gpt-5.4,locked__net_sharpe,75,0.18563655978398122,-0.15173790117071476,0.5264643809817144
model_gpt-5.4,locked__annualized_net_return,75,0.012644632979566906,-0.011992959873420195,0.03683047894960598
model_gpt-5.4,locked__max_drawdown,75,0.033746733442979175,-0.003568560441147148,0.07273635890504783
model_gpt-5.4,locked__turnover,75,-0.07579720125536414,-0.15732901387686754,0.003053725718352271
model_gpt-5.4,certified_count,75,0.0,0.0,0.0
model_gpt-5.4,certified_per_million_tokens,75,0.0,0.0,0.0
primary_locked_2023_2025,selected_sgg,150,-1.7385776712385173,-2.623510409459509,-0.8425710268131139
primary_locked_2023_2025,locked__rankic,150,-0.0004752618314311108,-0.006173880406874658,0.004979595164777211
primary_locked_2023_2025,locked__pearson_ic,150,0.0014443153527979502,6.526698958289533e-05,0.0027968587166840855
primary_locked_2023_2025,locked__net_sharpe,150,0.300394921938895,0.08957172555346841,0.5154087057354165
primary_locked_2023_2025,locked__annualized_net_return,150,0.023160038357308198,0.006843298032983879,0.039811024780046056
primary_locked_2023_2025,locked__max_drawdown,150,0.048924879648169765,0.023311877258741922,0.07461617430336583
primary_locked_2023_2025,locked__turnover,150,-0.10129525431736941,-0.15507957140554787,-0.04976680642500534
primary_locked_2023_2025,certified_count,150,0.0,0.0,0.0
primary_locked_2023_2025,certified_per_million_tokens,150,0.0,0.0,0.0
