credit_mode,allocator_arm,cost_bps,metric,mean,se,ci_low,ci_high,n
adaptation,current_allocator,0.0,net_annualized_return,0.12206146020604378,0.01258268018313374,0.0973998602181158,0.14672306019397174,10
adaptation,current_allocator,0.0,net_sharpe,0.951492077887812,0.1211520605841547,0.7140384024900541,1.1889457532855698,10
adaptation,current_allocator,0.0,max_drawdown,-0.1407851633430278,0.016407610487035817,-0.1729434889699797,-0.1086268377160759,10
adaptation,current_allocator,0.0,turnover,0.09798403158783912,0.007101502998589827,0.08406534147449987,0.11190272170117838,10
adaptation,current_allocator,0.0,gross_annualized_return,0.12206146020604378,0.01258268018313374,0.0973998602181158,0.14672306019397174,10
adaptation,current_allocator,0.0,excess_annualized_return,-0.1017656845551671,0.01258268018313374,-0.1264272845430951,-0.07710408456723912,10
adaptation,current_allocator,0.0,excess_information_ratio,-0.8480705485779776,0.10670794533740267,-1.0572142783035556,-0.6389268188523995,10
adaptation,current_allocator,0.0,compounded_net_return,0.2524404356690645,0.03233857376592376,0.1890579957764621,0.3158228755616669,10
adaptation,current_allocator,0.0,annualized_cost_drag,0.0,0.0,0.0,0.0,10
adaptation,current_allocator,0.0,positive_day_ratio,0.5363273453093812,0.0061127687934761825,0.5243465386283476,0.5483081519904148,10
adaptation,current_allocator,5.0,net_annualized_return,0.10971547195800528,0.012214751146486982,0.08577499963077147,0.1336559442852391,10
adaptation,current_allocator,5.0,net_sharpe,0.8568784772393473,0.11643995909880991,0.6286603510443629,1.0850966034343317,10
adaptation,current_allocator,5.0,max_drawdown,-0.14436508327442224,0.016787977204286885,-0.17726891396810396,-0.11146125258074052,10
adaptation,current_allocator,5.0,turnover,0.09798403158783912,0.007101502998589827,0.08406534147449987,0.11190272170117838,10
adaptation,current_allocator,5.0,gross_annualized_return,0.12206146020604378,0.01258268018313374,0.0973998602181158,0.14672306019397174,10
adaptation,current_allocator,5.0,excess_annualized_return,-0.11411167280320562,0.012214751146486982,-0.13805214513043945,-0.09017120047597181,10
adaptation,current_allocator,5.0,excess_information_ratio,-0.9529701120912213,0.10354797429088038,-1.1559204123734264,-0.7500198118090163,10
adaptation,current_allocator,5.0,compounded_net_return,0.22190068343337446,0.030941933011792436,0.16125560911821032,0.28254575774853863,10
adaptation,current_allocator,5.0,annualized_cost_drag,0.01234598798006773,0.0008947893778223182,0.010592233025786983,0.014099742934348476,10
adaptation,current_allocator,5.0,positive_day_ratio,0.5337325349301397,0.005709497791862922,0.5225421248882774,0.544922944972002,10
adaptation,current_allocator,10.0,net_annualized_return,0.09736948370996676,0.011902846182189928,0.07404033387935442,0.1206986335405791,10
adaptation,current_allocator,10.0,net_sharpe,0.7620947005629273,0.11201739622248459,0.5425446383249044,0.9816447628009501,10
adaptation,current_allocator,10.0,max_drawdown,-0.14800933213970136,0.01716509224677286,-0.18165229473468386,-0.11436636954471883,10
adaptation,current_allocator,10.0,turnover,0.09798403158783912,0.007101502998589827,0.08406534147449987,0.11190272170117838,10
adaptation,current_allocator,10.0,gross_annualized_return,0.12206146020604378,0.01258268018313374,0.0973998602181158,0.14672306019397174,10
adaptation,current_allocator,10.0,excess_annualized_return,-0.12645766105124415,0.011902846182189931,-0.1497868108818565,-0.1031285112206318,10
adaptation,current_allocator,10.0,excess_information_ratio,-1.057528661810148,0.1009611372789206,-1.2554088547150366,-0.8596484689052595,10
adaptation,current_allocator,10.0,compounded_net_return,0.19212334054479038,0.029728554599569187,0.13385644421720222,0.25039023687237855,10
adaptation,current_allocator,10.0,annualized_cost_drag,0.02469197596013546,0.0017895787556446365,0.021184466051573966,0.02819948586869695,10
adaptation,current_allocator,10.0,positive_day_ratio,0.5301397205588823,0.005240550543583558,0.5198684302342966,0.5404110108834679,10
adaptation,current_allocator,20.0,net_annualized_return,0.07267750721388977,0.011464590731006476,0.050207322283625344,0.0951476921441542,10
adaptation,current_allocator,20.0,net_sharpe,0.5724650046299494,0.10424359916671953,0.36815130464434953,0.7767787046155493,10
adaptation,current_allocator,20.0,max_drawdown,-0.15523226189548212,0.017989665745124356,-0.19049135884983975,-0.11997316494112446,10
adaptation,current_allocator,20.0,turnover,0.09798403158783912,0.007101502998589827,0.08406534147449987,0.11190272170117838,10
adaptation,current_allocator,20.0,gross_annualized_return,0.12206146020604378,0.01258268018313374,0.0973998602181158,0.14672306019397174,10
adaptation,current_allocator,20.0,excess_annualized_return,-0.15114963754732114,0.011464590731006478,-0.17361982247758556,-0.1286794526170567,10
adaptation,current_allocator,20.0,excess_information_ratio,-1.2650216862376906,0.09761932033405961,-1.456352038287726,-1.0736913341876553,10
adaptation,current_allocator,20.0,compounded_net_return,0.13477859567421177,0.027826359751563057,0.08023993274029326,0.18931725860813028,10
adaptation,current_allocator,20.0,annualized_cost_drag,0.04938395192027092,0.003579157511289273,0.04236893210314793,0.0563989717373939,10
adaptation,current_allocator,20.0,positive_day_ratio,0.524750499001996,0.004893273721409687,0.5151598587415367,0.5343411392624553,10
adaptation,current_allocator,30.0,net_annualized_return,0.047985530807110946,0.011296066524565067,0.025845647251994876,0.07012541436222702,10
adaptation,current_allocator,30.0,net_sharpe,0.38348741200720227,0.09820259883373793,0.1910138551048408,0.5759609689095637,10
adaptation,current_allocator,30.0,max_drawdown,-0.16242046004223137,0.018887264078978522,-0.19943881740352637,-0.12540210268093638,10
adaptation,current_allocator,30.0,turnover,0.09798403158783912,0.007101502998589827,0.08406534147449987,0.11190272170117838,10
adaptation,current_allocator,30.0,gross_annualized_return,0.12206146020604378,0.01258268018313374,0.0973998602181158,0.14672306019397174,10
adaptation,current_allocator,30.0,excess_annualized_return,-0.17584161395409997,0.011296066524565067,-0.19798149750921604,-0.1537017303989839,10
adaptation,current_allocator,30.0,excess_information_ratio,-1.4693839062368022,0.0967068136451859,-1.6589257780409932,-1.2798420344326111,10
adaptation,current_allocator,30.0,compounded_net_return,0.08025659587842827,0.02656508443483289,0.02818998713989023,0.1323232046169663,10
adaptation,current_allocator,30.0,annualized_cost_drag,0.07407592788040637,0.005368736266933909,0.0635533981547219,0.08459845760609085,10
adaptation,current_allocator,30.0,positive_day_ratio,0.5191616766467065,0.004417851044852707,0.5105028477097325,0.5278205055836805,10
adaptation,current_allocator,50.0,net_annualized_return,-0.0013984226915543113,0.011795984283453294,-0.024518127049323282,0.021721281666214662,10
