seed,credit_mode,allocator_arm,config_id,cost_bps,n_days,gross_annualized_return,net_annualized_return,net_sharpe,compounded_net_return,max_drawdown,excess_annualized_return,excess_information_ratio,turnover,annualized_cost_drag,positive_day_ratio
2026073001,adaptation,current_allocator,sm20_rb10_k20_drop2,0.0,501,0.1452766236710785,0.1452766236710785,1.2097368382421447,0.31575144303214064,-0.1461195808179132,-0.07855052109013244,-0.7220730709478002,0.132534921169281,0.0,0.5409181636726547
2026073001,adaptation,current_allocator,sm20_rb10_k20_drop2,5.0,501,0.1452766236710785,0.12857722204627103,1.0692195147691643,0.27275679402441977,-0.14834135398765247,-0.09524992271493991,-0.8764111861163634,0.132534921169281,0.016699400067329406,0.5349301397205589
2026073001,adaptation,current_allocator,sm20_rb10_k20_drop2,10.0,501,0.1452766236710785,0.11187782042146356,0.9284260957075042,0.23113909129835553,-0.15055880130633537,-0.11194932433974737,-1.030141824860373,0.132534921169281,0.03339880013465881,0.5289421157684631
2026073001,adaptation,current_allocator,sm20_rb10_k20_drop2,20.0,501,0.1452766236710785,0.0784790171718486,0.6472213814938841,0.15186304548164165,-0.15498074079098056,-0.14534812758936233,-1.334178697457729,0.132534921169281,0.06679760026931762,0.5229540918163673
2026073001,adaptation,current_allocator,sm20_rb10_k20_drop2,30.0,501,0.1452766236710785,0.045080214302849024,0.3684798600839532,0.07759338282146677,-0.1599000147228299,-0.1787469304583619,-1.631097471987935,0.132534921169281,0.10019640040397644,0.5169660678642715
2026073001,adaptation,current_allocator,sm20_rb10_k20_drop2,50.0,501,0.1452766236710785,-0.021717394597185493,-0.17308179156408277,-0.0571477435134401,-0.20421420322394757,-0.2455445393583964,-2.1928211455985274,0.132534921169281,0.16699400067329406,0.5109780439121756
2026073002,adaptation,current_allocator,sm20_rb10_k20_drop2,0.0,501,0.11708316205407478,0.11708316205407478,0.9609551695689388,0.24358944899939527,-0.15068731182748396,-0.10674398270713609,-0.8573284962888418,0.10698602348566055,0.0,0.5568862275449101
2026073002,adaptation,current_allocator,sm20_rb10_k20_drop2,5.0,501,0.11708316205407478,0.10360292244912368,0.8503087529719926,0.21071582748730022,-0.15395901803105683,-0.12022422231208718,-0.9666512492690302,0.10698602348566055,0.01348023895919323,0.5528942115768463
2026073002,adaptation,current_allocator,sm20_rb10_k20_drop2,10.0,501,0.11708316205407478,0.09012268284417257,0.739323085582749,0.17869348788418815,-0.1572199751583011,-0.1337044619170383,-1.0757366354152855,0.10698602348566055,0.02696047791838646,0.5449101796407185
2026073002,adaptation,current_allocator,sm20_rb10_k20_drop2,20.0,501,0.11708316205407478,0.06316220363427036,0.5169516485943199,0.11711684624369467,-0.16370975924477726,-0.16066494112694052,-1.2926109600381792,0.10698602348566055,0.05392095583677292,0.5409181636726547
2026073002,adaptation,current_allocator,sm20_rb10_k20_drop2,30.0,501,0.11708316205407478,0.03620172460003677,0.29507096475151656,0.05869318775176735,-0.1701568978201483,-0.1876254201611741,-1.5068001130712168,0.10698602348566055,0.08088143375515938,0.5329341317365269
2026073002,adaptation,current_allocator,sm20_rb10_k20_drop2,50.0,501,0.11708316205407478,-0.017719234053992523,-0.14248617399469318,-0.04932010654036023,-0.18292416600310646,-0.24154637881520338,-1.9227893711157547,0.10698602348566055,0.13480238959193228,0.5209580838323353
2026073003,adaptation,current_allocator,sm20_rb10_k20_drop2,0.0,501,0.06934747857585867,0.06934747857585867,0.32224235644371974,0.09627126443157974,-0.22725660316339713,-0.1544796661853522,-0.9325794979829297,0.08303392678499222,0.0,0.5069860279441117
2026073003,adaptation,current_allocator,sm20_rb10_k20_drop2,5.0,501,0.06934747857585867,0.05888520289332841,0.27363344612700313,0.07370878472111753,-0.2295918746664518,-0.16494194186788247,-0.9962807619509887,0.08303392678499222,0.01046227477490902,0.5049900199600799
2026073003,adaptation,current_allocator,sm20_rb10_k20_drop2,10.0,501,0.06934747857585867,0.04842292721079814,0.22500119444138542,0.05160080495275299,-0.23192112892682448,-0.17540421755041274,-1.0598854145466177,0.08303392678499222,0.02092454954981804,0.5029940119760479
2026073003,adaptation,current_allocator,sm20_rb10_k20_drop2,20.0,501,0.06934747857585867,0.02749837584573762,0.12772080636163435,0.00871268854688223,-0.23656163710011013,-0.1963287689154733,-1.1866842418203725,0.08303392678499222,0.04184909909963608,0.500998003992016
2026073003,adaptation,current_allocator,sm20_rb10_k20_drop2,30.0,501,0.06934747857585867,0.0065738244221208685,0.030509347537797875,-0.03246269140102853,-0.24117823040202035,-0.21725332033909006,-1.3127363466208066,0.08303392678499222,0.06277364864945412,0.499001996007984
2026073003,adaptation,current_allocator,sm20_rb10_k20_drop2,50.0,501,0.06934747857585867,-0.03527527760532569,-0.16327782459552073,-0.10994046755370979,-0.2503400797659854,-0.2591024223665367,-1.5616651537375825,0.08303392678499222,0.1046227477490902,0.49101796407185627
