system,truth_label,configuration_id,locked_interval,one_day_lag,primary_cost_bps,status,n_runs,net_annualized_return,net_return_ci_low,net_return_ci_high,net_sharpe,net_sharpe_ci_low,net_sharpe_ci_high,max_drawdown,max_drawdown_ci_low,max_drawdown_ci_high,turnover,turnover_ci_low,turnover_ci_high,protocol_difference
Alpha2,Alpha2 evidence-credit frozen operationalization,sm20_rb10_k20_drop2,2023-01-03/2024-12-30,True,10,complete,10,0.114474,0.077868,0.15108,0.724183,0.542511,0.905855,-0.149068,-0.173871,-0.124265,0.098942,0.087386,0.110498,fresh predeclared seeds; reference operationalization
AlphaAgent,AlphaAgent native-compatible,sm20_rb10_k20_drop2,2023-01-03/2024-12-30,True,10,not_computed_exactly,0,,,,,,,,,,,,,existing frozen evaluation uses a different 2021-2024 native Qlib portfolio protocol
QuantaAlpha,native QuantaAlpha frozen library common external evaluator,sm20_rb10_k20_drop2,2023-01-03/2024-12-30,True,10,complete,1,0.09122,-0.086987,0.267977,0.724573,-0.69,2.1927,-0.139943,-0.275701,-0.076998,0.1076,0.1026,0.1116,one frozen reduced-budget library; no proposer-seed interval
AlphaForge,"AlphaForge native, zoo=30 reduced-budget configuration (seeds 1--3)",sm20_rb10_k20_drop2,2023-01-03/2024-12-30,True,10,non_computable,0,,,,,,,,,,,,,"frozen object is CSI500 2022, not S&P500 2023-2024"
AlphaPROBE,AlphaPROBE upstream native,sm20_rb10_k20_drop2,2023-01-03/2024-12-30,True,10,non_computable,0,,,,,,,,,,,,,no frozen compatible native score object
RD-Agent,RD-Agent(Q) upstream native,sm20_rb10_k20_drop2,2023-01-03/2024-12-30,True,10,non_computable,0,,,,,,,,,,,,,native quant loop non-computable; no frozen compatible object
